system,case_id,case_dir,rc_service,fault_type,n_services,naive_rank,Random_rank,BARO_rank,BARO_nsvc,BARO_secs,nsigma_rank,nsigma_nsvc,nsigma_secs,e_diagnosis_rank,e_diagnosis_nsvc,e_diagnosis_secs,CIRCA_rank,CIRCA_nsvc,CIRCA_secs,RCD_rank,RCD_err,RCD_secs
OB,OB/checkoutservice_cpu/1,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/1,checkoutservice,cpu,10,7,5,1,10,0.06,1,10,0.05,,3,1.95,3,10,0.03,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.04
OB,OB/checkoutservice_cpu/2,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/2,checkoutservice,cpu,10,1,4,1,10,0.13,1,10,0.05,2.0,3,1.61,3,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03
OB,OB/checkoutservice_cpu/3,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/3,checkoutservice,cpu,10,1,8,2,10,0.05,2,10,0.05,,2,1.72,3,10,0.22,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",1.02
OB,OB/checkoutservice_delay/1,/home/user/data/RE2/RE2-OB/checkoutservice_delay/1,checkoutservice,delay,10,4,5,4,10,0.05,4,10,0.05,3.0,3,1.67,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.75
OB,OB/checkoutservice_delay/2,/home/user/data/RE2/RE2-OB/checkoutservice_delay/2,checkoutservice,delay,10,4,5,4,10,0.05,4,10,0.05,,2,1.72,1,10,12.44,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.6
OB,OB/checkoutservice_delay/3,/home/user/data/RE2/RE2-OB/checkoutservice_delay/3,checkoutservice,delay,10,4,3,3,10,0.05,3,10,0.05,,2,1.67,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.38
OB,OB/checkoutservice_disk/1,/home/user/data/RE2/RE2-OB/checkoutservice_disk/1,checkoutservice,disk,10,1,4,1,10,0.05,1,10,0.05,,3,1.84,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.78
OB,OB/checkoutservice_disk/2,/home/user/data/RE2/RE2-OB/checkoutservice_disk/2,checkoutservice,disk,10,1,6,1,10,0.05,1,10,0.05,,3,1.75,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.73
OB,OB/checkoutservice_disk/3,/home/user/data/RE2/RE2-OB/checkoutservice_disk/3,checkoutservice,disk,10,1,8,1,10,0.06,1,10,0.05,,3,1.84,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.79
OB,OB/checkoutservice_loss/1,/home/user/data/RE2/RE2-OB/checkoutservice_loss/1,checkoutservice,loss,10,1,3,1,10,0.06,1,10,0.05,,3,1.79,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.63
