system,case_id,case_dir,rc_service,fault_type,CIRCA_tuned_rank,CIRCA_tuned_nsvc,n_cols_used,secs
OB,OB/checkoutservice_cpu/1,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/1,checkoutservice,cpu,1.0,1,4,0.04
OB,OB/checkoutservice_cpu/2,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/2,checkoutservice,cpu,3.0,10,74,0.03
OB,OB/checkoutservice_cpu/3,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/3,checkoutservice,cpu,1.0,2,5,0.03
OB,OB/checkoutservice_delay/1,/home/user/data/RE2/RE2-OB/checkoutservice_delay/1,checkoutservice,delay,,0,2,0.02
OB,OB/checkoutservice_delay/2,/home/user/data/RE2/RE2-OB/checkoutservice_delay/2,checkoutservice,delay,,0,2,0.02
OB,OB/checkoutservice_delay/3,/home/user/data/RE2/RE2-OB/checkoutservice_delay/3,checkoutservice,delay,,0,2,0.02
OB,OB/checkoutservice_disk/1,/home/user/data/RE2/RE2-OB/checkoutservice_disk/1,checkoutservice,disk,1.0,1,4,0.03
OB,OB/checkoutservice_disk/2,/home/user/data/RE2/RE2-OB/checkoutservice_disk/2,checkoutservice,disk,3.0,10,57,0.02
OB,OB/checkoutservice_disk/3,/home/user/data/RE2/RE2-OB/checkoutservice_disk/3,checkoutservice,disk,1.0,1,4,0.02
OB,OB/checkoutservice_loss/1,/home/user/data/RE2/RE2-OB/checkoutservice_loss/1,checkoutservice,loss,3.0,10,60,0.08
OB,OB/checkoutservice_loss/2,/home/user/data/RE2/RE2-OB/checkoutservice_loss/2,checkoutservice,loss,,0,2,0.02
OB,OB/checkoutservice_loss/3,/home/user/data/RE2/RE2-OB/checkoutservice_loss/3,checkoutservice,loss,3.0,5,8,0.07
OB,OB/checkoutservice_mem/1,/home/user/data/RE2/RE2-OB/checkoutservice_mem/1,checkoutservice,mem,3.0,10,58,0.03
OB,OB/checkoutservice_mem/2,/home/user/data/RE2/RE2-OB/checkoutservice_mem/2,checkoutservice,mem,3.0,10,75,0.02
OB,OB/checkoutservice_mem/3,/home/user/data/RE2/RE2-OB/checkoutservice_mem/3,checkoutservice,mem,1.0,1,4,0.03
OB,OB/checkoutservice_socket/1,/home/user/data/RE2/RE2-OB/checkoutservice_socket/1,checkoutservice,socket,3.0,10,63,0.02
OB,OB/checkoutservice_socket/2,/home/user/data/RE2/RE2-OB/checkoutservice_socket/2,checkoutservice,socket,1.0,3,5,0.03
OB,OB/checkoutservice_socket/3,/home/user/data/RE2/RE2-OB/checkoutservice_socket/3,checkoutservice,socket,3.0,10,60,0.03
OB,OB/currencyservice_cpu/1,/home/user/data/RE2/RE2-OB/currencyservice_cpu/1,currencyservice,cpu,1.0,1,3,0.03
OB,OB/currencyservice_cpu/2,/home/user/data/RE2/RE2-OB/currencyservice_cpu/2,currencyservice,cpu,1.0,1,3,0.05
OB,OB/currencyservice_cpu/3,/home/user/data/RE2/RE2-OB/currencyservice_cpu/3,currencyservice,cpu,1.0,1,3,0.03
OB,OB/currencyservice_delay/1,/home/user/data/RE2/RE2-OB/currencyservice_delay/1,currencyservice,delay,,0,2,0.02
