system,case_id,case_dir,rc_service,fault_type,param_a,param_b,param_p_base,param_p_shared,cell_id,n_sim,seed,n_spans,traced_services,n_nodes,n_edges,acyclic,shared,inject_time,n_observed_services,rc_in_graph,naive_rank,n_components,condensation_nontrivial,max_mcse,S_graph_comp_rank,S_graph_comp_tie,S_graph_node_rank,S_graph_rc_comp_size,S_graph_nodes_tied,S_graph_exp_rank_random,S_full_comp_rank,S_full_comp_tie,S_full_node_rank,S_full_rc_comp_size,S_full_nodes_tied,S_full_exp_rank_random,S_graph_meanagg_comp_rank,S_graph_meanagg_comp_tie,S_graph_meanagg_node_rank,S_graph_meanagg_rc_comp_size,S_graph_meanagg_nodes_tied,S_graph_meanagg_exp_rank_random,secs
OB,OB/checkoutservice_cpu/1,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/1,checkoutservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,684745628,391997,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705354566,10,True,7,7,0,0.001115443812513656,5,2,5,1,2,4.5,5,1,5,1,1,5.0,5,2,5,1,2,4.5,2.36
OB,OB/checkoutservice_cpu/2,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/2,checkoutservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2357898151,199960,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1708475361,10,True,1,7,0,0.00111524653950371,4,1,4,1,1,4.0,2,1,2,1,1,2.0,4,1,4,1,1,4.0,1.31
OB,OB/checkoutservice_cpu/3,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/3,checkoutservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3207060318,408211,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705623539,10,True,1,7,0,0.0011153646917040183,4,1,4,1,1,4.0,1,1,1,1,1,1.0,4,1,4,1,1,4.0,2.26
OB,OB/checkoutservice_delay/1,/home/user/data/RE2/RE2-OB/checkoutservice_delay/1,checkoutservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3740261189,405229,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705666511,10,True,4,7,0,0.0011154780049377935,4,1,4,1,1,4.0,3,1,3,1,1,3.0,4,1,4,1,1,4.0,1.97
OB,OB/checkoutservice_delay/2,/home/user/data/RE2/RE2-OB/checkoutservice_delay/2,checkoutservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,479305365,402454,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705668921,10,True,4,7,0,0.0011154201251098173,4,1,4,1,1,4.0,3,1,3,1,1,3.0,4,1,4,1,1,4.0,1.98
OB,OB/checkoutservice_delay/3,/home/user/data/RE2/RE2-OB/checkoutservice_delay/3,checkoutservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3069934992,404907,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705671342,10,True,4,7,0,0.0011152859471341865,3,1,3,1,1,3.0,3,1,3,1,1,3.0,3,1,3,1,1,3.0,2.36
OB,OB/checkoutservice_disk/1,/home/user/data/RE2/RE2-OB/checkoutservice_disk/1,checkoutservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,228950959,391053,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705373910,10,True,1,7,0,0.0011155427163493114,5,1,5,1,1,5.0,3,1,3,1,1,3.0,5,1,5,1,1,5.0,2.14
OB,OB/checkoutservice_disk/2,/home/user/data/RE2/RE2-OB/checkoutservice_disk/2,checkoutservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2570298707,407608,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705765528,10,True,1,7,0,0.0011155501869033054,5,1,5,1,1,5.0,3,1,3,1,1,3.0,5,1,5,1,1,5.0,2.27
OB,OB/checkoutservice_disk/3,/home/user/data/RE2/RE2-OB/checkoutservice_disk/3,checkoutservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,52105185,410342,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705767825,10,True,1,7,0,0.0011154749748425556,5,1,5,1,1,5.0,2,1,2,1,1,2.0,5,1,5,1,1,5.0,2.16
OB,OB/checkoutservice_loss/1,/home/user/data/RE2/RE2-OB/checkoutservice_loss/1,checkoutservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2953156408,385793,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705376266,10,True,1,7,0,0.0011153762884672598,5,1,5,1,1,5.0,3,1,3,1,1,3.0,5,1,5,1,1,5.0,1.92
