system,case_id,case_dir,rc_service,fault_type,n_services,naive_rank,Random_rank,BARO_rank,BARO_nsvc,BARO_secs,nsigma_rank,nsigma_nsvc,nsigma_secs,e_diagnosis_rank,e_diagnosis_nsvc,e_diagnosis_secs,CIRCA_rank,CIRCA_nsvc,CIRCA_secs,RCD_rank,RCD_err,RCD_secs,S_graph_node_rank,rc_in_graph,hard
OB,OB/checkoutservice_cpu/1,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/1,checkoutservice,cpu,10,7,5,1,10,0.06,1,10,0.05,,3,1.95,3,10,0.03,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.04,5.0,True,True
OB,OB/checkoutservice_delay/1,/home/user/data/RE2/RE2-OB/checkoutservice_delay/1,checkoutservice,delay,10,4,5,4,10,0.05,4,10,0.05,3.0,3,1.67,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.75,4.0,True,True
OB,OB/checkoutservice_delay/2,/home/user/data/RE2/RE2-OB/checkoutservice_delay/2,checkoutservice,delay,10,4,5,4,10,0.05,4,10,0.05,,2,1.72,1,10,12.44,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.6,4.0,True,True
OB,OB/checkoutservice_delay/3,/home/user/data/RE2/RE2-OB/checkoutservice_delay/3,checkoutservice,delay,10,4,3,3,10,0.05,3,10,0.05,,2,1.67,3,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.38,3.0,True,True
OB,OB/checkoutservice_socket/2,/home/user/data/RE2/RE2-OB/checkoutservice_socket/2,checkoutservice,socket,10,2,4,1,10,0.05,1,10,0.14,2.0,3,1.66,3,10,1.13,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.71,3.0,True,True
OB,OB/currencyservice_cpu/1,/home/user/data/RE2/RE2-OB/currencyservice_cpu/1,currencyservice,cpu,10,3,1,1,10,0.05,1,10,0.05,,3,1.69,3,10,15.28,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.87,1.0,True,True
OB,OB/currencyservice_cpu/2,/home/user/data/RE2/RE2-OB/currencyservice_cpu/2,currencyservice,cpu,10,4,9,2,10,0.05,2,10,0.05,3.0,3,1.72,4,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03,1.0,True,True
OB,OB/currencyservice_cpu/3,/home/user/data/RE2/RE2-OB/currencyservice_cpu/3,currencyservice,cpu,10,3,9,1,10,0.05,1,10,0.05,,2,1.66,2,10,12.27,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.75,3.0,True,True
OB,OB/currencyservice_delay/1,/home/user/data/RE2/RE2-OB/currencyservice_delay/1,currencyservice,delay,10,3,1,1,10,0.05,1,10,0.05,2.0,2,1.71,2,10,13.86,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.79,1.0,True,True
OB,OB/currencyservice_disk/2,/home/user/data/RE2/RE2-OB/currencyservice_disk/2,currencyservice,disk,10,3,4,2,10,0.06,2,10,0.05,,3,1.74,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.6,1.0,True,True
OB,OB/currencyservice_disk/3,/home/user/data/RE2/RE2-OB/currencyservice_disk/3,currencyservice,disk,10,3,2,2,10,0.05,2,10,0.06,,2,1.8,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.53,1.0,True,True
OB,OB/currencyservice_loss/3,/home/user/data/RE2/RE2-OB/currencyservice_loss/3,currencyservice,loss,10,2,2,4,10,0.05,4,10,0.05,,2,1.67,4,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.56,1.0,True,True
OB,OB/currencyservice_socket/1,/home/user/data/RE2/RE2-OB/currencyservice_socket/1,currencyservice,socket,10,3,3,3,10,0.05,2,10,0.05,,2,1.68,3,10,14.15,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",1.06,4.0,True,True
OB,OB/currencyservice_socket/2,/home/user/data/RE2/RE2-OB/currencyservice_socket/2,currencyservice,socket,10,4,2,2,10,0.05,1,10,0.04,,2,1.66,2,10,11.4,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.64,1.0,True,True
OB,OB/currencyservice_socket/3,/home/user/data/RE2/RE2-OB/currencyservice_socket/3,currencyservice,socket,10,3,5,2,10,0.05,2,10,0.05,,2,1.7,1,10,13.25,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.51,1.0,True,True
OB,OB/productcatalogservice_loss/3,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/3,productcatalogservice,loss,10,2,2,1,10,0.05,1,10,0.05,2.0,2,1.85,8,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.54,1.0,True,True
OB,OB/productcatalogservice_mem/2,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/2,productcatalogservice,mem,10,2,8,2,10,0.05,2,10,0.05,,3,1.75,8,10,0.03,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.96,1.0,True,True
OB,OB/productcatalogservice_mem/3,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/3,productcatalogservice,mem,10,2,7,1,10,0.05,1,10,0.05,2.0,3,1.69,8,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.65,1.0,True,True
TT,TT/ts-auth-service_disk/1,/home/user/data/RE2/RE2-TT/ts-auth-service_disk/1,ts-auth-service,disk,28,2,26,1,28,0.25,1,28,0.28,,3,10.52,4,28,0.15,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.72,,False,True
TT,TT/ts-auth-service_loss/1,/home/user/data/RE2/RE2-TT/ts-auth-service_loss/1,ts-auth-service,loss,28,5,17,4,28,0.33,1,28,0.23,,1,10.06,4,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.5,,False,True
TT,TT/ts-auth-service_loss/2,/home/user/data/RE2/RE2-TT/ts-auth-service_loss/2,ts-auth-service,loss,28,2,18,14,28,0.32,13,28,0.22,,3,10.39,4,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.56,,False,True
TT,TT/ts-auth-service_loss/3,/home/user/data/RE2/RE2-TT/ts-auth-service_loss/3,ts-auth-service,loss,28,4,13,14,28,0.31,21,28,0.39,,3,10.11,4,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.46,,False,True
TT,TT/ts-order-service_disk/1,/home/user/data/RE2/RE2-TT/ts-order-service_disk/1,ts-order-service,disk,28,2,25,1,28,0.24,1,28,0.32,,0,9.85,14,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",1.01,19.0,True,True
TT,TT/ts-order-service_disk/2,/home/user/data/RE2/RE2-TT/ts-order-service_disk/2,ts-order-service,disk,22,21,9,1,22,0.24,1,22,0.22,,2,9.28,13,22,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.57,2.0,True,True
TT,TT/ts-order-service_loss/1,/home/user/data/RE2/RE2-TT/ts-order-service_loss/1,ts-order-service,loss,28,2,6,3,28,0.34,4,28,0.24,,2,9.86,14,28,0.08,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.27,1.0,True,True
TT,TT/ts-route-service_disk/1,/home/user/data/RE2/RE2-TT/ts-route-service_disk/1,ts-route-service,disk,28,25,17,1,28,0.24,1,28,0.25,,0,9.96,19,28,0.07,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.15,2.0,True,True
TT,TT/ts-travel-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/2,ts-travel-service,cpu,28,4,9,2,28,0.32,1,28,0.22,,2,9.76,25,28,0.07,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.08,6.0,True,True
TT,TT/ts-travel-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/3,ts-travel-service,cpu,28,3,3,2,28,0.24,1,28,0.31,,3,9.83,25,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.5,8.0,True,True
TT,TT/ts-travel-service_delay/1,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/1,ts-travel-service,delay,28,3,19,3,28,0.24,6,28,0.22,,3,10.4,25,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.55,7.0,True,True
TT,TT/ts-travel-service_delay/2,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/2,ts-travel-service,delay,28,2,17,1,28,0.24,2,28,0.22,,2,9.95,25,28,0.16,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.72,7.0,True,True
TT,TT/ts-travel-service_disk/1,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/1,ts-travel-service,disk,28,5,17,1,28,0.24,1,28,0.22,,2,9.92,25,28,0.08,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.79,9.0,True,True
TT,TT/ts-travel-service_disk/2,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/2,ts-travel-service,disk,28,20,3,1,28,0.24,1,28,0.22,,3,9.89,25,28,0.07,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.19,4.0,True,True
TT,TT/ts-travel-service_loss/1,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/1,ts-travel-service,loss,28,4,20,1,28,0.32,1,28,0.25,,3,10.17,25,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.62,7.0,True,True
TT,TT/ts-travel-service_loss/2,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/2,ts-travel-service,loss,28,3,8,13,28,0.23,10,28,0.29,,2,10.22,25,28,0.07,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.66,9.0,True,True
TT,TT/ts-travel-service_loss/3,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/3,ts-travel-service,loss,28,4,21,1,28,0.34,1,28,0.3,,3,10.93,25,28,0.08,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.77,5.0,True,True
TT,TT/ts-travel-service_mem/1,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/1,ts-travel-service,mem,28,3,9,1,28,0.32,1,28,0.29,,1,11.05,25,28,0.16,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.64,9.0,True,True
