system,case_id,case_dir,rc_service,fault_type,param_a,param_b,param_p_base,param_p_shared,cell_id,n_sim,seed,n_spans,traced_services,n_nodes,n_edges,acyclic,shared,inject_time,n_observed_services,rc_in_graph,naive_rank,n_components,condensation_nontrivial,max_mcse,S_graph_comp_rank,S_graph_comp_tie,S_graph_node_rank,S_graph_rc_comp_size,S_graph_nodes_tied,S_graph_exp_rank_random,S_full_comp_rank,S_full_comp_tie,S_full_node_rank,S_full_rc_comp_size,S_full_nodes_tied,S_full_exp_rank_random,S_graph_meanagg_comp_rank,S_graph_meanagg_comp_tie,S_graph_meanagg_node_rank,S_graph_meanagg_rc_comp_size,S_graph_meanagg_nodes_tied,S_graph_meanagg_exp_rank_random,secs,retry_rate
OB,OB/checkoutservice_cpu/3,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/3,checkoutservice,cpu,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,1736898129,408211,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705623539,10,True,1,7,0,0.0011114323977979947,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,3.21,0.300453727606978
TT,TT/ts-auth-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-auth-service_cpu/1,ts-auth-service,cpu,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,1929355924,1143435,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-contacts-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-preserve-other-service|ts-preserve-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,26,55,False,ts-assurance-service|ts-config-service|ts-contacts-service|ts-food-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,1705918105,28,False,1,24,1,0.001117857253633039,,,,,,,,,,,,,,,,,,,8.23,0.35183257956367864
TT,TT/ts-auth-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-auth-service_cpu/3,ts-auth-service,cpu,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,546729721,898363,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-contacts-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-preserve-other-service|ts-preserve-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,26,55,False,ts-assurance-service|ts-config-service|ts-contacts-service|ts-food-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,1706025155,28,False,1,24,1,0.0011179349510928621,,,,,,,,,,,,,,,,,,,6.52,0.3192511738247178
TT,TT/ts-order-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-order-service_cpu/3,ts-order-service,cpu,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,2470353227,849200,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-contacts-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-preserve-other-service|ts-preserve-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,26,55,False,ts-assurance-service|ts-config-service|ts-contacts-service|ts-food-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,1706053461,28,True,1,24,1,0.0011178982867416875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.19,0.31933520765863554
TT,TT/ts-order-service_loss/3,/home/user/data/RE2/RE2-TT/ts-order-service_loss/3,ts-order-service,loss,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,103187509,126456,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service,18,20,True,ts-route-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service,1706071770,21,True,1,18,0,0.001114727588639933,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.28,0.23321481036324787
TT,TT/ts-order-service_socket/1,/home/user/data/RE2/RE2-TT/ts-order-service_socket/1,ts-order-service,socket,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,800309562,1204370,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-contacts-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-preserve-other-service|ts-preserve-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,26,55,False,ts-assurance-service|ts-config-service|ts-contacts-service|ts-food-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,1705986772,28,True,1,24,1,0.0011178739383311518,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,9.35,0.36464282583559093
TT,TT/ts-route-service_disk/2,/home/user/data/RE2/RE2-TT/ts-route-service_disk/2,ts-route-service,disk,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,1946542298,325410,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-contacts-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-preserve-other-service|ts-preserve-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,26,55,False,ts-assurance-service|ts-config-service|ts-contacts-service|ts-food-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,1706085230,28,True,1,24,1,0.0011178765761478322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.16,0.27069026373313354
TT,TT/ts-travel-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/2,ts-travel-service,cpu,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,2436548632,796889,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-contacts-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-preserve-other-service|ts-preserve-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,26,55,False,ts-assurance-service|ts-config-service|ts-contacts-service|ts-food-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,1706135598,28,True,4,24,1,0.001117897414289433,4.0,1.0,6.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,6.0,3.0,3.0,4.0,5.81,0.2916676683870951
TT,TT/ts-travel-service_disk/2,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/2,ts-travel-service,disk,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,3107713235,166981,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-price-service|ts-route-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service,19,21,True,ts-route-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service,1706143230,21,True,20,19,0,0.0011142972807446853,4.0,1.0,4.0,1.0,1.0,4.0,17.0,1.0,17.0,1.0,1.0,17.0,4.0,1.0,4.0,1.0,1.0,4.0,1.56,0.3029734447076424
TT,TT/ts-travel-service_mem/2,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/2,ts-travel-service,mem,2.0,5.0,0.55,0.4,a2.0_b5.0_pb0.55_ps0.4,200000,3044210565,887067,ts-admin-basic-info-service|ts-admin-travel-service|ts-assurance-service|ts-auth-service|ts-basic-service|ts-config-service|ts-consign-price-service|ts-consign-service|ts-contacts-service|ts-food-map-service|ts-food-service|ts-inside-payment-service|ts-order-other-service|ts-order-service|ts-payment-service|ts-preserve-other-service|ts-preserve-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,26,55,False,ts-assurance-service|ts-config-service|ts-contacts-service|ts-food-service|ts-order-other-service|ts-order-service|ts-price-service|ts-route-service|ts-seat-service|ts-security-service|ts-station-service|ts-ticketinfo-service|ts-train-service|ts-travel-service|ts-travel2-service|ts-user-service,1706203551,28,True,2,24,1,0.0011179060129881224,8.0,1.0,10.0,3.0,3.0,8.0,2.0,1.0,4.0,3.0,3.0,2.0,8.0,1.0,10.0,3.0,3.0,8.0,7.34,0.3275568707441296
