system,case_id,case_dir,rc_service,fault_type,cell_id,seed,n_nodes_secondary,n_isolated_added,rc_in_candidates,naive_rank,n_components,max_mcse,S_graph_comp_rank,S_graph_node_rank,S_graph_rc_comp_size,S_full_comp_rank,S_full_node_rank,S_full_rc_comp_size,secs
OB,OB/checkoutservice_cpu/1,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/1,checkoutservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2471963751,7,0,True,7,7,0.0011116394199559496,5.0,5.0,1.0,5,5,1,2.58
OB,OB/checkoutservice_cpu/2,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/2,checkoutservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3437730385,7,0,True,1,7,0.0011114299568011471,4.0,4.0,1.0,2,2,1,1.27
OB,OB/checkoutservice_cpu/3,/home/user/data/RE2/RE2-OB/checkoutservice_cpu/3,checkoutservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3495128923,7,0,True,1,7,0.0011117088825317535,4.0,4.0,1.0,1,1,1,2.63
OB,OB/checkoutservice_delay/1,/home/user/data/RE2/RE2-OB/checkoutservice_delay/1,checkoutservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3361694985,7,0,True,4,7,0.0011115296644152147,4.0,4.0,1.0,3,3,1,2.54
OB,OB/checkoutservice_delay/2,/home/user/data/RE2/RE2-OB/checkoutservice_delay/2,checkoutservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3788127675,7,0,True,4,7,0.001111109999955,4.0,4.0,1.0,3,3,1,2.5
OB,OB/checkoutservice_delay/3,/home/user/data/RE2/RE2-OB/checkoutservice_delay/3,checkoutservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3092828809,7,0,True,4,7,0.0011115405613381817,3.0,3.0,1.0,3,3,1,2.51
OB,OB/checkoutservice_disk/1,/home/user/data/RE2/RE2-OB/checkoutservice_disk/1,checkoutservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2178272754,7,0,True,1,7,0.001111707688142436,5.0,5.0,1.0,3,3,1,2.38
OB,OB/checkoutservice_disk/2,/home/user/data/RE2/RE2-OB/checkoutservice_disk/2,checkoutservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3265258286,7,0,True,1,7,0.0011113969587865534,5.0,5.0,1.0,3,3,1,3.08
OB,OB/checkoutservice_disk/3,/home/user/data/RE2/RE2-OB/checkoutservice_disk/3,checkoutservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,317649729,7,0,True,1,7,0.0011116622170763023,4.0,4.0,1.0,2,2,1,2.75
OB,OB/checkoutservice_loss/1,/home/user/data/RE2/RE2-OB/checkoutservice_loss/1,checkoutservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,829241627,7,0,True,1,7,0.001111412857076523,5.0,5.0,1.0,3,3,1,2.44
OB,OB/checkoutservice_loss/2,/home/user/data/RE2/RE2-OB/checkoutservice_loss/2,checkoutservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,283108663,7,0,True,1,7,0.0011113036299769743,4.0,4.0,1.0,3,3,1,2.76
